RAW_DATA|GIVEN_NAME|TOP_NICKNAME|ALL_NICKNAMES_ORDERED
aaron,erin,ronnie,ron|aaron|ron|erin,ron,ronnie
abbie,abigail|abbie|abigail|abigail
abby,abigail|abby|abigail|abigail
abednego,bedney|abednego|bedney|bedney
abel,ebbie,ab,abe,eb|abel|abe|ab,abe,eb,ebbie
abiel,ab|abiel|ab|ab
abigail,nabby,abby,gail|abigail|abby|abby,gail,nabby
abijah,ab,bige|abijah|ab|ab,bige
abner,ab|abner|ab|ab
abraham,ab,abe|abraham|abe|ab,abe
abram,ab|abram|ab|ab
absalom,app,ab,abbie|absalom|ab|ab,abbie,app
ada,addy|ada|addy|addy
adaline,delia,lena,dell,addy,ada|adaline|addy|ada,addy,delia,dell,lena
adam,edie,ade|adam|ade|ade,edie
addy,adele|addy|adele|adele
adela,della|adela|della|della
adelaide,heidi,adele,dell,addy,della|adelaide|adele|addy,adele,dell,della,heidi
adelbert,del,albert,delbert,bert|adelbert|bert|albert,bert,del,delbert
adele,dell|adele|dell|dell
adeline,delia,lena,dell,addy,ada|adeline|delia|ada,addy,delia,dell,lena
adelphia,philly,delphia,adele,dell,addy|adelphia|dell|addy,adele,dell,delphia,philly
adolphus,dolph,ado,adolph|adolphus|dolph|ado,adolph,dolph
adrian,rian|adrian|rian|rian
adrienne,adrian|adrienne|adrian|adrian
agatha,aggy|agatha|aggy|aggy
agnes,inez,aggy,nessa|agnes|nessa|aggy,inez,nessa
aileen,lena,allie|aileen|lena|allie,lena
alan,al|alan|al|al
alanson,al,lanson|alanson|al|al,lanson
alastair,al|alastair|al|al
alazama,ali|alazama|ali|ali
albert,bert,al|albert|bert|al,bert
alberta,bert,allie,bertie|alberta|bertie|allie,bert,bertie
aldo,al|aldo|al|al
aldrich,riche,rich|aldrich|rich|rich,riche
aleva,levy,leve|aleva|leve|leve,levy
alexander,alex,al,sandy|alexander|alex|al,alex,sandy
alexandra,alex,sandy,alla,sandra|alexandra|alex|alex,alla,sandra,sandy
alexandria,drina,alexander,alla,sandra|alexandria|sandra|alexander,alla,drina,sandra
alexis,lexi|alexis|lexi|lexi
alfonse,al|alfonse|al|al
alfred,freddy,al,fred|alfred|fred|al,fred,freddy
alfreda,freddy,alfy,freda,frieda|alfreda|freda|alfy,freda,freddy,frieda
algernon,algy|algernon|algy|algy
